dataset,worker,prototype,weight
CF,573,1,0.06415717652211399
CF,574,0,0.9513512974700016
CF,574,1,0.048648702529998415
CF,577,0,0.9487411144776292
CF,577,1,0.05125888552237076
CF,578,0,0.9473592350018758
CF,578,1,0.052640764998124305
CF,582,0,0.9409844028642974
CF,582,1,0.05901559713570262
CF,583,0,0.12200040548839657
CF,583,1,0.8779995945116035
CF,595,0,0.9513036378343724
CF,595,1,0.048696362165627526
CF,596,0,0.9043225484334657
CF,596,1,0.09567745156653427
CF,605,0,0.918225854910467
CF,605,1,0.08177414508953297
CF,609,0,0.9433854840417917
CF,609,1,0.05661451595820826
CF,611,0,0.9513045396555515
CF,611,1,0.04869546034444857
CF,613,0,0.7147448612823268
CF,613,1,0.2852551387176731
CF,614,0,0.9027981968097152
CF,614,1,0.09720180319028483
CF,628,0,0.7208460748412311
CF,628,1,0.27915392515876897
CF,632,0,0.5387270717345028
CF,632,1,0.4612729282654972
CF,634,0,0.9365114030563413
CF,634,1,0.06348859694365871
CF,640,0,0.06497875011121956
CF,640,1,0.9350212498887803
CF,644,0,0.9433852716441639
CF,644,1,0.05661472835583614
CF,645,0,0.9513512974700711
CF,645,1,0.04864870252992896
CF,646,0,0.9513513088864259
CF,646,1,0.0486486911135741
CF,647,0,0.0641447599285905
CF,647,1,0.9358552400714094
CF,655,0,0.058056485931797346
CF,655,1,0.9419435140682026
CF,656,0,0.056975034610440914
CF,656,1,0.9430249653895592
CF,658,0,0.9513513197784992
CF,658,1,0.048648680221500824
CF,659,0,0.9404522936022205
CF,659,1,0.059547706397779517
CF,661,0,0.9465500198042999
CF,661,1,0.05344998019570013
CF,662,0,0.9496499152497673
CF,662,1,0.05035008475023273
CF,670,0,0.9513513197785051
CF,670,1,0.048648680221494996
CF,675,0,0.08468958796075436
CF,675,1,0.9153104120392457
CF,677,0,0.06497875011121956
CF,677,1,0.9350212498887803
CF,688,0,0.8814134782590985
CF,688,1,0.11858652174090144
CF,692,0,0.9398369780079265
CF,692,1,0.06016302199207343
CF,694,0,0.9464848454577217
CF,694,1,0.05351515454227828
CF,703,0,0.9334160231191794
CF,703,1,0.06658397688082064
CF,705,0,0.946651024484319
CF,705,1,0.05334897551568096
CF,706,0,0.9433852716441639
CF,706,1,0.05661472835583614
CF,708,0,0.78309810853301
CF,708,1,0.21690189146699004
CF,709,0,0.9513512974700703
CF,709,1,0.04864870252992965
CF,711,0,0.9431756600047011
CF,711,1,0.05682433999529886
CF,712,0,0.9512962098498292
CF,712,1,0.04870379015017081
CF,713,0,0.9392780401858002
CF,713,1,0.06072195981419987
CF,716,0,0.9425565568768413
CF,716,1,0.0574434431231588
CF,720,0,0.9186774994642724
CF,720,1,0.08132250053572769
CF,721,0,0.9433854840594633
CF,721,1,0.05661451594053668
CF,725,0,0.9464848454577217
CF,725,1,0.05351515454227828
CF,726,0,0.6680929726901501
CF,726,1,0.33190702730984994
CF,727,0,0.9466296174477566
CF,727,1,0.05337038255224324
CF,733,0,0.949030065974681
CF,733,1,0.05096993402531905
CF,735,0,0.9457806022636129
CF,735,1,0.05421939773638699
CF,740,0,0.9433651294160731
CF,740,1,0.05663487058392689
CF,744,0,0.06497875011121956
CF,744,1,0.9350212498887803
CF,745,0,0.8859554537756751
CF,745,1,0.11404454622432485
CF,757,0,0.06497875011121956
CF,757,1,0.9350212498887803
CF,758,0,0.5656646782084828
CF,758,1,0.43433532179151724
CF,765,0,0.9474506106829907
CF,765,1,0.05254938931700926
CF,767,0,0.06497875011121956
CF,767,1,0.9350212498887803
CF,768,0,0.9398414965574122
CF,768,1,0.06015850344258772
CF,771,0,0.9474505826526841
CF,771,1,0.05254941734731592
CF,775,0,0.8566694749593085
CF,775,1,0.14333052504069152
CF,782,0,0.8888815667754978
CF,782,1,0.11111843322450231
CF,786,0,0.5166425245680157
CF,786,1,0.4833574754319843
CF,796,0,0.9394280778516684
CF,796,1,0.06057192214833173
CF,800,0,0.5166880333501594
CF,800,1,0.48331196664984055
CF,801,0,0.9453387946909554
CF,801,1,0.054661205309044565
CF,816,0,0.913117285248936
CF,816,1,0.08688271475106411
CF,822,0,0.951351297469286
CF,822,1,0.04864870253071403
CF,824,0,0.9417107785549477
CF,824,1,0.058289221445052296
CF,829,0,0.9464848454577217
CF,829,1,0.05351515454227828
CF,838,0,0.9513512974701935
CF,838,1,0.04864870252980645
CF,841,0,0.9391448755835191
CF,841,1,0.060855124416480805
CF,842,0,0.4030135982410622
CF,842,1,0.5969864017589378
CF,844,0,0.9391450237347774
CF,844,1,0.06085497626522267
CF,846,0,0.9513513088891614
CF,846,1,0.048648691110838596
CF,847,0,0.06497875011121956
CF,847,1,0.9350212498887803
CF,848,0,0.9440906596747852
CF,848,1,0.055909340325214864
CF,856,0,0.9513045392286958
CF,856,1,0.048695460771304135
CF,859,0,0.9410405435421337
CF,859,1,0.05895945645786626
CF,861,0,0.06414437446365115
CF,861,1,0.9358556255363489
CF,862,0,0.5017268588355884
CF,862,1,0.4982731411644117
CF,872,0,0.23262888529206516
CF,872,1,0.767371114707935
CF,880,0,0.9513045389962081
CF,880,1,0.04869546100379191
CF,882,0,0.8443970063233053
CF,882,1,0.1556029936766948
CF,884,0,0.9421923362357322
CF,884,1,0.05780766376426777
CF,885,0,0.947132772443373
CF,885,1,0.05286722755662701
CF,894,0,0.9465770599098283
CF,894,1,0.05342294009017165
CF,895,0,0.06896656330362355
CF,895,1,0.9310334366963765
CF,900,0,0.9512962098255302
CF,900,1,0.048703790174469914
CF,901,0,0.9360691755086225
CF,901,1,0.0639308244913775
CF,902,0,0.9433853400270849
CF,902,1,0.0566146599729152
CF,905,0,0.7463094178493019
CF,905,1,0.25369058215069795
CF,906,0,0.9444691871172064
CF,906,1,0.05553081288279373
CF,910,0,0.9513513325838565
CF,910,1,0.0486486674161435
CF,911,0,0.8888737964544403
CF,911,1,0.11112620354555969
CF,917,0,0.9388925145352305
CF,917,1,0.06110748546476958
CF,919,0,0.939145199011383
CF,919,1,0.06085480098861701
CF,920,0,0.9480176635953873
CF,920,1,0.05198233640461276
CF,922,0,0.9466510244777454
CF,922,1,0.05334897552225458
CF,926,0,0.06659489234547471
CF,926,1,0.9334051076545253
CF,927,0,0.9459815044404264
CF,927,1,0.05401849555957363
CF,928,0,0.9513512974700579
CF,928,1,0.04864870252994205
CF,932,0,0.6835204055424887
CF,932,1,0.3164795944575114
CF,934,0,0.9432560248666936
CF,934,1,0.05674397513330639
CF,937,0,0.9513513088891525
CF,937,1,0.04864869111084733
CF,954,0,0.060674400012669605
CF,954,1,0.9393255999873305
CF,956,0,0.9513512974693745
CF,956,1,0.04864870253062545
CF,957,0,0.949030065974681
CF,957,1,0.05096993402531905
CF,959,0,0.9453235169952977
CF,959,1,0.05467648300470224
CF,960,0,0.8640975381293625
CF,960,1,0.13590246187063754
CF,961,0,0.3423131163457082
CF,961,1,0.6576868836542917
CF,966,0,0.9474506436369541
CF,966,1,0.05254935636304583
CF,973,0,0.9513512974700197
CF,973,1,0.04864870252998028
CF,974,0,0.9391450172222355
CF,974,1,0.06085498277776442
CF,986,0,0.058056483858698396
